,brands,flavors,characteristics,text
811,буженер,,,буженрна
812,,пластовый,,творог пластовый
814,чугук,,"соль, перец",чугук
815,сушкоф,,,сушкоф
817,,,гкль,гкль для
818,,,марожен,набор марожен
819,капрон,,колготки,капроновые колготки
820,,тушонка,,тушонка
821,,,творожный,творожок
822,,,порошок,порошок
823,тктрад,,,тктрад
824,,хачапури,по а,хачапури по а д
825,сангрита,"оригинальный (сок цитры, томат, сок ананаса, сок лайма, соль, перец и шоколад)",,sangrita
827,ко,пирог,,ко пирог
828,боржо,,"крем, мыло, детское",боржо
829,Любмени,,неизвестен (текст не содержит информацию о вкусовых нотах),любмени
830,Авс,,неизвестен,авс
831,,мучный,,мучное
832,маскарпоне,,,сыр маскарпоне
833,,черная ,,s черная икра
834,саитлогорье,,,саитлогорье
835,хадыженский,квас,,квас хадыженский
836,,"капуста, курица",нет указаний на дополнительные характеристики,капуста с курицу
837,Blendy,,"creamy, rich, nutty",blendy
838,,яблочный,,яблочные
839,,курица,,сухарики курица
840,партейно,батончик,,партейновый батончик
841,,,приборы стола,приборы стол
842,чедар,сырный,,cheesee
843,,,для глаз,для глаз салфетки
844,,сушенное рыба,,сушенное рыба
846,no limit,original,,no limit original
847,,,макароны,макароны
